지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
105,강릉,1911-10-04,,12.2,26.2
105,강릉,1911-10-09,,6,16.6
105,강릉,1911-10-16,,9.2,15.5
105,강릉,1911-11-01,,6,14.8
105,강릉,1911-11-04,,10.2,19.5
105,강릉,1911-11-15,,8.4,10.7
105,강릉,1911-11-26,,-1.3,6.8
105,강릉,1911-12-02,,3.4,15.1
105,강릉,1911-12-15,,-5.6,3.3
105,강릉,1911-12-19,,.7,7.8
105,강릉,1911-12-26,,-2.1,4.2
105,강릉,1912-01-01,4.9,.5,8.5
105,강릉,1912-01-02,-3.8,-7.5,-.4
105,강릉,1912-01-03,-1,-7.7,5.7
105,강릉,1912-01-04,3.9,.5,8.2
105,강릉,1912-01-05,3.9,.5,9.3
105,강릉,1912-01-06,1.9,-.7,7.3
105,강릉,1912-01-07,.2,-4,3.8
105,강릉,1912-01-08,.2,-4.1,5.7
105,강릉,1912-01-09,.4,-1.8,4.6
105,강릉,1912-01-10,-1.5,-6.6,3.2
105,강릉,1912-01-11,-4.4,-6.5,-1.1
105,강릉,1912-01-12,-5,-7.8,-1
105,강릉,1912-01-13,-3.4,-7.6,3
105,강릉,1912-01-14,-3,-5.6,.5
105,강릉,1912-01-15,-4.9,-6.8,-2
105,강릉,1912-01-16,-5.2,-9.2,-.8
105,강릉,1912-01-17,-2.1,-6,1.3
105,강릉,1912-01-18,.9,-2,4.3
105,강릉,1912-01-19,-.8,-3.2,3.4
105,강릉,1912-01-20,.1,-4,6
105,강릉,1912-01-21,2.1,-5.3,5.2
105,강릉,1912-01-22,.2,-2.8,3.7
105,강릉,1912-01-23,-.7,-4.4,4.9
105,강릉,1912-01-24,-2,-4.1,.2
105,강릉,1912-01-25,-.2,-1.8,2
105,강릉,1912-01-26,.9,-1.1,2.8
105,강릉,1912-01-27,-.1,-2.1,2.7
105,강릉,1912-01-28,-1.9,-3.9,1.2
105,강릉,1912-01-29,-3.1,-5.6,1.5
105,강릉,1912-01-30,-2.3,-6.4,3.2
105,강릉,1912-01-31,-.9,-4.4,3.4
105,강릉,1912-02-01,.1,-4.2,4.6
105,강릉,1912-02-02,.2,-3.3,2.5
105,강릉,1912-02-03,-1.1,-3.6,2.9
105,강릉,1912-02-04,1.4,-3.9,6.7
105,강릉,1912-02-05,3.6,1.7,5.5
105,강릉,1912-02-06,-1.4,-3.5,4
105,강릉,1912-02-07,1.5,-3.1,5
105,강릉,1912-02-08,2.7,-2,7
105,강릉,1912-02-09,3.5,-4,9.5
105,강릉,1912-02-10,1.3,-1.4,5
105,강릉,1912-02-11,1.2,-2.5,7.7
105,강릉,1912-02-12,1.3,-4,6
105,강릉,1912-02-13,4.5,1.6,10
105,강릉,1912-02-14,2.9,1.7,5.4
105,강릉,1912-02-15,3.8,1.8,7.6
105,강릉,1912-02-16,1.7,-2,6.2
105,강릉,1912-02-17,-2.6,-4.3,.2
105,강릉,1912-02-18,-1,-5.1,4.5
105,강릉,1912-02-19,.8,-3.1,5.5
105,강릉,1912-02-20,3.6,-.5,10.5
105,강릉,1912-02-21,3.1,-1.5,7.3
105,강릉,1912-02-22,5.9,2,10.5
105,강릉,1912-02-23,7,3.6,10.8
105,강릉,1912-02-24,9.9,5.8,13.3
105,강릉,1912-02-25,6.4,2.7,12.3
105,강릉,1912-02-26,6.7,1.5,12.5
105,강릉,1912-02-27,7.4,4.6,11
105,강릉,1912-02-28,3.9,.7,7
105,강릉,1912-02-29,.9,.4,1.6
105,강릉,1912-03-01,2.2,.2,5.7
105,강릉,1912-03-02,4.4,-.2,8.4
105,강릉,1912-03-03,3.5,2.5,5.7
105,강릉,1912-03-04,3.1,1.5,8.7
105,강릉,1912-03-05,7.2,.6,13.3
105,강릉,1912-03-06,4.1,2.6,5.3
105,강릉,1912-03-07,7.8,2.1,12.7
105,강릉,1912-03-08,5.9,2.5,9.5
105,강릉,1912-03-09,6.6,1.7,11.5
105,강릉,1912-03-10,10.2,5.1,15.7
105,강릉,1912-03-11,8.2,2.4,13.9
105,강릉,1912-03-12,1.6,-.9,4.8
105,강릉,1912-03-13,.7,-2.1,5.9
105,강릉,1912-03-14,1.3,-2.1,6.9
105,강릉,1912-03-15,4.9,-.5,9.9
105,강릉,1912-03-16,4.6,-.7,10.7
105,강릉,1912-03-17,4.2,.6,9.3
105,강릉,1912-03-18,1.4,-2,6.9
105,강릉,1912-03-19,6.8,.2,12.5
105,강릉,1912-03-20,13.9,7.2,19.4
105,강릉,1912-03-21,8.5,2.5,15
105,강릉,1912-03-22,4.2,-1.1,10.1
105,강릉,1912-03-23,6.4,1,12.6
105,강릉,1912-03-24,5.5,1.6,11.8
105,강릉,1912-03-25,9.2,3.1,16.4
105,강릉,1912-03-26,9.9,4.5,16.5
105,강릉,1912-03-27,8.5,5.4,11.6
105,강릉,1912-03-28,6.3,4.9,7
105,강릉,1912-03-29,7.9,3.8,13.1
105,강릉,1912-03-30,3.6,1.3,6.2
105,강릉,1912-03-31,6.8,.7,13.5
105,강릉,1912-04-01,4.8,2.1,9.9
105,강릉,1912-04-02,8.1,1.1,14.9
105,강릉,1912-04-03,8.9,4.6,12.8
105,강릉,1912-04-04,6.7,3.3,12.1
105,강릉,1912-04-05,6.3,2.1,12.9
105,강릉,1912-04-06,10.6,2.7,18.4
105,강릉,1912-04-07,10.5,6.2,17.6
105,강릉,1912-04-08,9.6,3.5,19.2
105,강릉,1912-04-09,10.2,4.7,18
105,강릉,1912-04-10,8.3,4.2,13.8
105,강릉,1912-04-11,6.9,3.5,13
105,강릉,1912-04-12,11.2,4,17.9
105,강릉,1912-04-13,15.8,12.2,20.8
105,강릉,1912-04-14,14.5,11.8,23.4
105,강릉,1912-04-15,11.4,5.8,17.8
105,강릉,1912-04-16,8.4,4,16.8
105,강릉,1912-04-17,8.4,2.8,14.7
105,강릉,1912-04-18,9.7,5.8,13.7
105,강릉,1912-04-19,14.8,8.7,20.1
105,강릉,1912-04-20,20.1,15.3,24.5
105,강릉,1912-04-21,17.2,11.7,24.5
105,강릉,1912-04-22,16.3,11.9,23
105,강릉,1912-04-23,14.6,11.4,19.2
105,강릉,1912-04-24,18.1,11.4,22.2
105,강릉,1912-04-25,16,10.1,21.7
105,강릉,1912-04-26,8.5,4.1,12.5
105,강릉,1912-04-27,17.2,10.9,23.5
105,강릉,1912-04-28,20.6,14.3,28.8
105,강릉,1912-04-29,12.8,10.3,20.7
105,강릉,1912-04-30,16.5,9.9,23.7
105,강릉,1912-05-01,12.6,10.5,15.4
105,강릉,1912-05-02,12.5,9.1,17.6
105,강릉,1912-05-03,19.5,10.2,28.9
105,강릉,1912-05-04,14.1,11.3,18
105,강릉,1912-05-05,14,9.5,23.1
105,강릉,1912-05-06,14.5,8.3,21.2
105,강릉,1912-05-07,13.5,10.2,18.7
105,강릉,1912-05-08,9.6,6.2,13.7
105,강릉,1912-05-09,9.3,5.2,15.7
105,강릉,1912-05-10,10.7,3.7,18.5
105,강릉,1912-05-11,10.8,9.5,12.1
105,강릉,1912-05-12,13.5,9.8,19.1
105,강릉,1912-05-13,11.6,9.9,14.3
105,강릉,1912-05-14,13.9,9.6,21.2
105,강릉,1912-05-15,16.4,8.2,24.3
105,강릉,1912-05-16,21.8,15.7,28.4
105,강릉,1912-05-17,21.8,17.2,29
105,강릉,1912-05-18,21.7,16.3,27.8
105,강릉,1912-05-19,21.9,18.7,28.3
105,강릉,1912-05-20,15.5,11.5,23.5
105,강릉,1912-05-21,10.9,10.1,13.9
105,강릉,1912-05-22,11.5,8.6,15
