ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC)
105,°­¸ª,1931-01-01,-.2,-2.8,2.5
105,°­¸ª,1931-01-02,4.1,-3.5,9.6
105,°­¸ª,1931-01-03,5.3,1.5,11.4
105,°­¸ª,1931-01-04,7.2,1,14.2
105,°­¸ª,1931-01-05,2.8,.5,8.2
105,°­¸ª,1931-01-06,.7,.4,2
105,°­¸ª,1931-01-07,.9,-.2,2.9
105,°­¸ª,1931-01-08,1,.2,2.7
105,°­¸ª,1931-01-09,-4.2,-8.8,.7
105,°­¸ª,1931-01-10,-16.1,-18.2,-8.3
105,°­¸ª,1931-01-11,-12.7,-19.1,-7.1
105,°­¸ª,1931-01-12,-5,-11.9,-1.5
105,°­¸ª,1931-01-13,-6.2,-8.8,-3.5
105,°­¸ª,1931-01-14,-3.7,-11.2,2
105,°­¸ª,1931-01-15,-3,-7.1,2.3
105,°­¸ª,1931-01-16,.4,-4.4,4.6
105,°­¸ª,1931-01-17,-2.2,-4.1,2
105,°­¸ª,1931-01-18,-1.1,-6.1,2.8
105,°­¸ª,1931-01-19,.3,-6.1,3.5
105,°­¸ª,1931-01-20,-4.5,-9.4,2.5
105,°­¸ª,1931-01-21,-4.9,-9.5,.7
105,°­¸ª,1931-01-22,0,-8.2,6.3
105,°­¸ª,1931-01-23,1.3,-2.2,4.3
105,°­¸ª,1931-01-24,.3,-4.6,6.4
105,°­¸ª,1931-01-25,1.9,-2.3,5.2
105,°­¸ª,1931-01-26,-3,-6.1,2.5
105,°­¸ª,1931-01-27,-4.7,-12.2,1.4
105,°­¸ª,1931-01-28,.6,-3.1,2.5
105,°­¸ª,1931-01-29,1.4,-1,5.4
105,°­¸ª,1931-01-30,0,-2.8,4.2
105,°­¸ª,1931-01-31,2.6,-6.9,11.4
105,°­¸ª,1931-02-01,3,-.9,11
105,°­¸ª,1931-02-02,1.5,-1.5,5.2
105,°­¸ª,1931-02-03,2,-1.8,6.3
105,°­¸ª,1931-02-04,.8,.5,1.7
105,°­¸ª,1931-02-05,-.3,-1.7,1.4
105,°­¸ª,1931-02-06,-1.9,-5.3,2.8
105,°­¸ª,1931-02-07,-10.1,-12.2,-4.8
105,°­¸ª,1931-02-08,-8.3,-14,-1
105,°­¸ª,1931-02-09,-4.4,-8.9,-.2
105,°­¸ª,1931-02-10,-5,-9.3,.4
105,°­¸ª,1931-02-11,-4.5,-12.3,0
105,°­¸ª,1931-02-12,-2.2,-8.2,4.8
105,°­¸ª,1931-02-13,1.1,-4.2,5.7
105,°­¸ª,1931-02-14,-.9,-2.5,1
105,°­¸ª,1931-02-15,.9,-1.9,4.5
105,°­¸ª,1931-02-16,-.9,-2.3,2
105,°­¸ª,1931-02-17,-2,-5.9,2.4
105,°­¸ª,1931-02-18,-1.2,-5.6,3.5
105,°­¸ª,1931-02-19,-.7,-4.6,3.9
105,°­¸ª,1931-02-20,.5,-3.3,6
105,°­¸ª,1931-02-21,.2,-2.6,3.7
105,°­¸ª,1931-02-22,.5,-2.6,3.4
105,°­¸ª,1931-02-23,.7,-3.7,5.2
105,°­¸ª,1931-02-24,-5,-8.6,-.8
105,°­¸ª,1931-02-25,-2.5,-9.2,3.1
105,°­¸ª,1931-02-26,-.2,-4.1,3.4
105,°­¸ª,1931-02-27,0,-6.6,5.9
105,°­¸ª,1931-02-28,-2.2,-5.1,3.3
105,°­¸ª,1931-03-01,-3.7,-9.2,1.5
105,°­¸ª,1931-03-02,.6,-5.5,7
105,°­¸ª,1931-03-03,4.7,-1.3,9.9
105,°­¸ª,1931-03-04,2.2,-.7,6.4
105,°­¸ª,1931-03-05,3.7,-4.4,9.8
105,°­¸ª,1931-03-06,5.9,2.9,9.4
105,°­¸ª,1931-03-07,-.4,-5.3,5.5
105,°­¸ª,1931-03-08,2.6,-6.7,8.4
105,°­¸ª,1931-03-09,3.3,-.1,10.6
105,°­¸ª,1931-03-10,7.4,-1.5,13
105,°­¸ª,1931-03-11,6.6,3.4,12
105,°­¸ª,1931-03-12,5.1,-1,11.2
105,°­¸ª,1931-03-13,5.1,2.3,10.8
105,°­¸ª,1931-03-14,5.1,-.8,10.9
105,°­¸ª,1931-03-15,8.1,5.4,14.3
105,°­¸ª,1931-03-16,7,2,12.2
105,°­¸ª,1931-03-17,4.3,1.2,10.4
105,°­¸ª,1931-03-18,2.1,-1.6,7.6
105,°­¸ª,1931-03-19,9.8,-.2,17
105,°­¸ª,1931-03-20,5.1,.5,10.4
105,°­¸ª,1931-03-21,8.5,-2.8,18.4
105,°­¸ª,1931-03-22,15.3,10.5,20
105,°­¸ª,1931-03-23,2.1,0,12.6
105,°­¸ª,1931-03-24,3.5,-2,8.5
105,°­¸ª,1931-03-25,8.7,2.6,13.5
105,°­¸ª,1931-03-26,3.5,1,9.2
105,°­¸ª,1931-03-27,5.3,-.6,11
105,°­¸ª,1931-03-28,8.7,3.4,15.2
105,°­¸ª,1931-03-29,12.5,5.5,17.5
105,°­¸ª,1931-03-30,13.8,10,21
105,°­¸ª,1931-03-31,6.3,1,11.2
105,°­¸ª,1931-04-01,9,1.4,16.5
105,°­¸ª,1931-04-02,8.8,6.1,15.8
105,°­¸ª,1931-04-03,13.4,4.5,19
105,°­¸ª,1931-04-04,11.2,7.6,17.4
105,°­¸ª,1931-04-05,2.8,0,8
105,°­¸ª,1931-04-06,3.1,.9,5.9
105,°­¸ª,1931-04-07,3.2,-.5,8
105,°­¸ª,1931-04-08,3.9,.1,10.3
105,°­¸ª,1931-04-09,12.8,.5,20
105,°­¸ª,1931-04-10,12.6,10.1,15.5
105,°­¸ª,1931-04-11,3.2,1,13.4
105,°­¸ª,1931-04-12,5.8,-.5,14.3
105,°­¸ª,1931-04-13,9.8,3.1,15.7
