N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"59,200",400,-0.67%,100,"3,534,111","5,969,783",49.84,"17,351,567",8.98,13.92,
2,LG에너지솔루션,"589,000","20,000",+3.51%,500,"1,378,260","234,000",4.83,"420,920",978.41,10.68,
3,삼성바이오로직스,"870,000","3,000",-0.34%,"2,500","619,214","71,174",10.71,"49,090",115.71,8.21,
4,SK하이닉스,"82,700","1,800",-2.13%,"5,000","602,058","728,002",50.82,"2,888,860",5.25,16.84,
5,삼성SDI,"739,000","14,000",+1.93%,"5,000","508,170","68,765",46.67,"332,083",34.47,8.45,
6,LG화학,"683,000","11,000",+1.64%,"5,000","482,146","70,592",48.23,"279,776",24.08,18.47,
7,삼성전자우,"53,000","1,100",-2.03%,100,"436,130","822,887",71.61,"988,644",8.04,N/A,
8,현대차,"162,000","3,000",-1.82%,"5,000","346,142","213,668",29.04,"987,794",7.19,6.84,
9,NAVER,"169,000","5,000",-2.87%,100,"277,243","164,049",49.77,"1,010,968",27.57,106.72,
10,기아,"64,500","1,700",-2.57%,"5,000","261,459","405,363",37.00,"2,180,819",4.94,14.69,
11,셀트리온,"185,000","2,500",-1.33%,"1,000","260,465","140,792",21.58,"334,491",46.28,16.04,
12,삼성물산,"121,000","2,000",+1.68%,100,"226,133","186,887",16.79,"440,061",14.41,5.40,
13,카카오,"50,100","2,200",-4.21%,100,"223,106","445,322",27.50,"3,549,146",10.02,17.10,
14,POSCO홀딩스,"258,000",500,-0.19%,"5,000","218,194","84,571",52.89,"548,777",3.11,13.97,
15,현대모비스,"218,500",500,-0.23%,"5,000","206,013","94,285",36.28,"294,630",8.71,6.87,
16,KB금융,"47,500",400,-0.84%,"5,000","194,226","408,897",73.36,"947,535",4.20,9.80,
17,신한지주,"35,550",450,-1.25%,"5,000","182,348","512,934",61.54,"1,703,628",4.41,8.80,
18,SK이노베이션,"189,500","6,000",+3.27%,"5,000","175,222","92,466",26.03,"1,085,546",6.93,1.91,
19,포스코케미칼,"212,000","14,000",+7.07%,500,"164,222","77,463",8.54,"1,555,519",119.77,7.92,
20,SK,"219,500","1,000",+0.46%,200,"162,758","74,149",22.62,"119,306",4.93,10.19,
21,LG전자,"82,800",900,-1.08%,"5,000","135,500","163,648",26.29,"640,412",8.12,6.32,
22,삼성생명,"66,800",500,-0.74%,500,"133,600","200,000",13.23,"183,428",18.31,4.01,
23,KT&G,"93,900",600,-0.63%,"5,000","128,918","137,292",43.52,"339,166",12.17,10.74,
24,LG,"80,800",300,-0.37%,"5,000","127,099","157,301",36.23,"192,545",5.55,12.36,
25,하나금융지주,"40,850",350,-0.85%,"5,000","120,877","295,903",70.78,"827,701",3.49,10.86,
26,고려아연,"586,000","35,000",-5.64%,"5,000","116,398","19,863",21.84,"214,012",12.98,11.07,
27,SK텔레콤,"50,400",100,+0.20%,100,"110,292","218,833",46.42,"382,675",8.69,13.63,
28,한국전력,"16,700",50,-0.30%,"5,000","107,208","641,964",14.35,"1,050,768",-0.69,-7.99,
29,S-Oil,"89,700","2,200",-2.39%,"2,500","100,987","112,583",81.23,"325,525",4.17,21.76,
30,현대중공업,"111,000","1,000",-0.89%,"5,000","98,538","88,773",5.75,"151,046",-13.34,-14.87,
31,삼성에스디에스,"125,000",500,-0.40%,500,"96,722","77,378",13.57,"93,297",12.71,8.80,
32,삼성화재,"201,500","2,500",-1.23%,500,"95,460","47,375",50.11,"75,557",8.83,7.09,
33,두산에너빌리티,"14,950",550,+3.82%,"5,000","95,427","638,308",11.23,"19,749,983",112.41,10.67,
34,카카오뱅크,"19,850",400,-1.98%,"5,000","94,612","476,634",12.91,"8,615,770",44.01,4.91,
35,한화솔루션,"49,100",50,-0.10%,"5,000","93,918","191,278",24.15,"1,616,145",27.02,8.79,
36,KT,"35,800",300,-0.83%,"5,000","93,478","261,112",44.22,"740,221",6.50,9.36,
37,삼성전기,"120,500",500,-0.41%,"5,000","90,006","74,694",27.02,"426,231",9.06,14.29,
38,크래프톤,"183,000","11,000",-5.67%,100,"89,802","49,072",29.58,"197,890",14.22,17.86,
39,HMM,"18,300",700,-3.68%,"5,000","89,494","489,039",9.65,"2,394,247",0.77,88.62,
40,엔씨소프트,"385,500","15,000",-3.75%,500,"84,633","21,954",43.26,"87,482",16.62,12.62,
41,대한항공,"22,800",50,-0.22%,"5,000","83,954","368,221",15.58,"1,205,041",5.33,11.60,
42,우리금융지주,"11,400",200,-1.72%,"5,000","82,999","728,061",40.50,"2,626,169",2.83,10.59,
43,LG생활건강,"522,000","13,000",-2.43%,"5,000","81,527","15,618",36.71,"50,202",15.50,16.65,
44,기업은행,"10,400",100,-0.95%,"5,000","77,407","744,301",13.56,"657,670",3.42,9.21,
45,LG이노텍,"283,000","5,000",-1.74%,"5,000","66,978","23,667",23.39,"244,487",6.95,30.94,
46,현대글로비스,"171,500","2,000",-1.15%,500,"64,312","37,500",46.73,"77,486",6.21,14.41,
47,CJ제일제당,"427,000",500,-0.12%,"5,000","64,281","15,054",24.87,"32,600",10.78,10.76,
48,SK바이오사이언스,"80,700","2,900",-3.47%,500,"61,965","76,784",4.51,"420,207",18.48,38.08,
49,아모레퍼시픽,"97,100","5,400",-5.27%,500,"56,796","58,493",25.23,"472,511",79.79,4.20,
50,F&F,"143,000","3,500",-2.39%,100,"54,779","38,307",12.09,"110,076",14.96,N/A,
